"Consumer Price Index - Average Price Data","","","","","","","","","","","","",""
"Original Data Value","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Series Id:","APU0000712311","","","","","","","","","","","",""
"Area:","U.S. city average","","","","","","","","","","","",""
"Item:","Tomatoes, field grown, per lb. (453.6 gm)","","","","","","","","","","","",""
"Years:","2004 to 2014","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"2004.0","1.472","1.51","1.529","1.519","1.51","1.331","1.253","1.312","1.321","1.715","2.337","2.467",""
"2005.0","1.66","1.428","1.548","1.71","1.911","1.655","1.607","1.416","1.429","1.547","1.574","1.848",""
"2006.0","2.162","1.91","1.649","1.573","1.543","1.457","1.479","1.488","1.908","2.188","1.784","1.639",""
"2007.0","1.621","1.644","1.555","1.63","1.685","1.51","1.486","1.485","1.496","1.649","1.851","2.147",""
"2008.0","2.032","1.735","1.835","1.773","1.675","1.814","1.713","1.694","1.591","1.611","1.722","1.734",""
"2009.0","1.661","1.556","1.511","1.591","1.584","1.604","1.618","1.528","1.538","1.595","1.726","1.961",""
"2010.0","1.837","1.765","2.007","2.132","1.918","1.586","1.544","1.405","1.503","1.502","1.519","1.591",""
"2011.0","1.59","1.832","2.086","2.27","1.794","1.559","1.442","1.42","1.503","1.465","1.516","1.531",""
"2012.0","1.542","1.433","1.452","1.388","1.336","1.492","1.506","1.44","1.384","1.443","1.469","1.594",""
"2013.0","1.545","1.497","1.493","1.46","1.454","1.47","1.43","1.509","1.566","","1.7","1.727",""
"2014.0","1.702","1.672","1.632","1.622","1.629","1.675","1.633","1.544","","","","",""
