Date,None,D0,D1,D2,D3,D4
1/4/2000,77.15,22.85,0,0,0,0
1/11/2000,0,100,0,0,0,0
1/18/2000,0,100,0,0,0,0
1/25/2000,0,100,0,0,0,0
2/1/2000,0,100,0,0,0,0
2/8/2000,0,100,0,0,0,0
2/15/2000,0,100,0.07,0,0,0
2/22/2000,0,100,0.07,0,0,0
2/29/2000,0,100,1.74,0,0,0
3/7/2000,0,100,1.1,0,0,0
3/14/2000,24,76,0,0,0,0
3/21/2000,24,76,0,0,0,0
3/28/2000,21.95,78.05,0,0,0,0
4/4/2000,23.67,76.33,0,0,0,0
4/11/2000,23.67,76.33,0,0,0,0
4/18/2000,5.93,94.07,0,0,0,0
4/25/2000,100,0,0,0,0,0
5/2/2000,100,0,0,0,0,0
5/9/2000,100,0,0,0,0,0
5/16/2000,100,0,0,0,0,0
5/23/2000,100,0,0,0,0,0
5/30/2000,100,0,0,0,0,0
6/6/2000,100,0,0,0,0,0
6/13/2000,100,0,0,0,0,0
6/20/2000,100,0,0,0,0,0
6/27/2000,100,0,0,0,0,0
7/4/2000,100,0,0,0,0,0
7/11/2000,100,0,0,0,0,0
7/18/2000,100,0,0,0,0,0
7/25/2000,100,0,0,0,0,0
8/1/2000,100,0,0,0,0,0
8/8/2000,85.72,14.28,0,0,0,0
8/15/2000,0,100,0,0,0,0
8/22/2000,0,100,0,0,0,0
8/29/2000,0.8,99.2,0,0,0,0
9/5/2000,0.8,99.2,0,0,0,0
9/12/2000,0.8,99.2,0,0,0,0
9/19/2000,0.8,99.2,0,0,0,0
9/26/2000,0.8,99.2,0,0,0,0
10/3/2000,0.8,99.2,0,0,0,0
10/10/2000,0.86,99.14,0,0,0,0
10/17/2000,0,100,0,0,0,0
10/24/2000,10.3,89.7,0,0,0,0
10/31/2000,100,0,0,0,0,0
11/7/2000,100,0,0,0,0,0
11/14/2000,100,0,0,0,0,0
11/21/2000,100,0,0,0,0,0
11/28/2000,100,0,0,0,0,0
12/5/2000,100,0,0,0,0,0
12/12/2000,100,0,0,0,0,0
12/19/2000,100,0,0,0,0,0
12/26/2000,100,0,0,0,0,0
1/2/2001,100,0,0,0,0,0
1/9/2001,100,0,0,0,0,0
1/16/2001,100,0,0,0,0,0
1/23/2001,100,0,0,0,0,0
1/30/2001,100,0,0,0,0,0
2/6/2001,100,0,0,0,0,0
2/13/2001,100,0,0,0,0,0
2/20/2001,100,0,0,0,0,0
2/27/2001,100,0,0,0,0,0
3/6/2001,100,0,0,0,0,0
3/13/2001,100,0,0,0,0,0
3/20/2001,100,0,0,0,0,0
3/27/2001,100,0,0,0,0,0
4/3/2001,100,0,0,0,0,0
4/10/2001,100,0,0,0,0,0
4/17/2001,100,0,0,0,0,0
4/24/2001,100,0,0,0,0,0
5/1/2001,100,0,0,0,0,0
5/8/2001,100,0,0,0,0,0
5/15/2001,100,0,0,0,0,0
5/22/2001,100,0,0,0,0,0
5/29/2001,100,0,0,0,0,0
6/5/2001,100,0,0,0,0,0
6/12/2001,100,0,0,0,0,0
6/19/2001,100,0,0,0,0,0
6/26/2001,100,0,0,0,0,0
7/3/2001,100,0,0,0,0,0
7/10/2001,100,0,0,0,0,0
7/17/2001,100,0,0,0,0,0
7/24/2001,100,0,0,0,0,0
7/31/2001,100,0,0,0,0,0
8/7/2001,100,0,0,0,0,0
8/14/2001,100,0,0,0,0,0
8/21/2001,100,0,0,0,0,0
8/28/2001,100,0,0,0,0,0
9/4/2001,100,0,0,0,0,0
9/11/2001,100,0,0,0,0,0
9/18/2001,100,0,0,0,0,0
9/25/2001,100,0,0,0,0,0
10/2/2001,100,0,0,0,0,0
10/9/2001,100,0,0,0,0,0
10/16/2001,100,0,0,0,0,0
10/23/2001,100,0,0,0,0,0
10/30/2001,100,0,0,0,0,0
11/6/2001,100,0,0,0,0,0
11/13/2001,100,0,0,0,0,0
11/20/2001,100,0,0,0,0,0
11/27/2001,100,0,0,0,0,0
12/4/2001,100,0,0,0,0,0
12/11/2001,100,0,0,0,0,0
12/18/2001,100,0,0,0,0,0
12/25/2001,100,0,0,0,0,0
1/1/2002,100,0,0,0,0,0
1/8/2002,100,0,0,0,0,0
1/15/2002,100,0,0,0,0,0
1/22/2002,100,0,0,0,0,0
1/29/2002,100,0,0,0,0,0
2/5/2002,29.8,70.2,0,0,0,0
2/12/2002,0,100,0,0,0,0
2/19/2002,0,100,0,0,0,0
2/26/2002,0,100,0,0,0,0
3/5/2002,0,100,0,0,0,0
3/12/2002,0,100,0,0,0,0
3/19/2002,0,100,0,0,0,0
3/26/2002,0,100,4.19,0,0,0
4/2/2002,0,100,99.46,0,0,0
4/9/2002,0,100,100,58.13,0,0
4/16/2002,0,100,100,100,0,0
4/23/2002,0,100,100,100,0,0
4/30/2002,0,100,100,100,0,0
5/7/2002,0,100,100,100,0,0
5/14/2002,0,100,100,100,0,0
5/21/2002,0,100,100,100,0,0
5/28/2002,0,100,100,100,0,0
6/4/2002,0,100,100,100,0,0
6/11/2002,0,100,100,100,0,0
6/18/2002,0,100,100,100,0,0
6/25/2002,0,100,100,100,0,0
7/2/2002,0,100,100,100,0,0
7/9/2002,0,100,100,100,4.7,0
7/16/2002,0,100,100,100,100,0
7/23/2002,0,100,100,100,100,0
7/30/2002,0,100,100,100,100,0
8/6/2002,0,100,100,100,100,0
8/13/2002,0,100,100,100,100,0
8/20/2002,0,100,100,100,100,0
8/27/2002,0,100,100,100,100,0
9/3/2002,0,100,100,100,100,0
9/10/2002,0,100,100,100,100,0
9/17/2002,0,100,100,100,100,0
9/24/2002,0,100,100,100,100,0
10/1/2002,0,100,100,100,100,0
10/8/2002,0,100,100,100,100,0
10/15/2002,0,100,100,100,100,0
10/22/2002,0,100,100,100,100,0
10/29/2002,0,100,100,100,100,0
11/5/2002,0,100,100,100,100,0
11/12/2002,0,100,100,100,100,0
11/19/2002,0,100,100,100,100,0
11/26/2002,0,100,100,100,100,0
12/3/2002,0,100,100,100,76.9,0
12/10/2002,0,100,100,100,78.64,0
12/17/2002,0,100,100,100,76.21,0
12/24/2002,0,100,100,100,77.93,0
12/31/2002,0,100,100,100,76.84,0
1/7/2003,0,100,100,100,73.62,0
1/14/2003,0,100,100,100,74.13,0
1/21/2003,0,100,100,100,75.14,0
1/28/2003,0,100,100,100,89.07,0
2/4/2003,0,100,100,100,88.69,0
2/11/2003,0,100,100,100,85.34,0
2/18/2003,0,100,92.06,58.14,31.79,0
2/25/2003,0,100,94.16,60.16,29.17,0
3/4/2003,4.75,95.25,64.6,54.01,0.05,0
3/11/2003,0,100,95.52,53.93,0,0
3/18/2003,0,100,94.58,14.26,0,0
3/25/2003,0,100,93.42,10.11,0,0
4/1/2003,0,100,92.64,10.84,0,0
4/8/2003,0,100,93.41,15.41,0,0
4/15/2003,0.19,99.81,81.86,2.57,0,0
4/22/2003,0,100,93.28,2.07,0,0
4/29/2003,0.02,99.98,91.48,0.15,0,0
5/6/2003,0,100,92.49,6.12,0,0
5/13/2003,0,100,89.1,3.25,0,0
5/20/2003,0,100,87.72,5.63,0,0
5/27/2003,0,100,86.79,4.55,0,0
6/3/2003,0,100,90.74,7.41,0,0
6/10/2003,0,100,88.62,1.25,0,0
6/17/2003,0,100,89.17,4.64,0,0
6/24/2003,0.12,99.88,84.09,3.04,0,0
7/1/2003,0.21,99.79,83.81,5.78,0,0
7/8/2003,3.46,96.54,72.75,6.01,0,0
7/15/2003,2.96,97.04,62.76,2.21,0,0
7/22/2003,2.7,97.3,62.23,2.62,0,0
7/29/2003,5.45,94.55,48.09,0.87,0,0
8/5/2003,4.45,95.55,53.35,10.88,0,0
8/12/2003,4.38,95.62,47.52,9.92,0,0
8/19/2003,7.71,92.29,55.92,5.01,0,0
8/26/2003,9.18,90.82,52.34,6.97,0,0
9/2/2003,5.05,94.95,80.93,17.48,0,0
9/9/2003,4.04,95.96,71.22,0,0,0
9/16/2003,4.94,95.06,88.19,0,0,0
9/23/2003,3.06,96.94,90.3,0,0,0
9/30/2003,11.24,88.76,82.87,0,0,0
10/7/2003,2.86,97.14,87.74,0,0,0
10/14/2003,3.06,96.94,80,0,0,0
10/21/2003,2.84,97.16,88.73,0,0,0
10/28/2003,0,100,88.37,0,0,0
11/4/2003,0,100,89.84,0,0,0
11/11/2003,0,100,86.66,0,0,0
11/18/2003,1.8,98.2,89.74,0,0,0
11/25/2003,1.08,98.92,90.26,0,0,0
12/2/2003,0.07,99.93,88.21,0,0,0
12/9/2003,1.08,98.92,84.22,0,0,0
12/16/2003,1.28,98.72,88.27,0,0,0
12/23/2003,0.52,99.48,91.51,0,0,0
12/30/2003,0,100,86.4,0,0,0
1/6/2004,0,100,86.15,0,0,0
1/13/2004,0,100,87.21,0,0,0
1/20/2004,0,100,79.2,0,0,0
1/27/2004,0,100,74.2,0,0,0
2/3/2004,0,100,74.2,0,0,0
2/10/2004,0,100,74.2,0,0,0
2/17/2004,0,100,74.2,0,0,0
2/24/2004,0,100,74.2,0,0,0
3/2/2004,0,100,74.2,0,0,0
3/9/2004,0,100,74.2,0,0,0
3/16/2004,0,100,74.2,0,0,0
3/23/2004,0,100,74.2,0,0,0
3/30/2004,0,100,74.2,0,0,0
4/6/2004,0,100,71.02,0,0,0
4/13/2004,0,100,68.82,0,0,0
4/20/2004,0,100,68.82,0,0,0
4/27/2004,0,100,68.82,0,0,0
5/4/2004,0,100,100,0,0,0
5/11/2004,0,100,100,0,0,0
5/18/2004,0,100,100,0,0,0
5/25/2004,0,100,100,0,0,0
6/1/2004,0,100,100,0,0,0
6/8/2004,0,100,100,0,0,0
6/15/2004,0,100,100,0,0,0
6/22/2004,0,100,100,0,0,0
6/29/2004,0,100,100,0,0,0
7/6/2004,0,100,100,0,0,0
7/13/2004,0,100,100,0,0,0
7/20/2004,0,100,100,0,0,0
7/27/2004,0,100,100,0.11,0,0
8/3/2004,0,100,100,0.11,0,0
8/10/2004,0,100,100,0.11,0,0
8/17/2004,0,100,100,74.99,0,0
8/24/2004,0,100,100,74.99,0,0
8/31/2004,0,100,100,74.99,0,0
9/7/2004,0,100,100,74.99,0,0
9/14/2004,0,100,100,74.99,0,0
9/21/2004,0,100,100,74.99,0,0
9/28/2004,0,100,100,74.99,0,0
10/5/2004,0,100,100,74.99,0,0
10/12/2004,0,100,100,74.99,0,0
10/19/2004,0,100,100,74.99,0,0
10/26/2004,0,100,100,74.87,0,0
11/2/2004,0,100,100,74.87,0,0
11/9/2004,0,100,100,71.95,0,0
11/16/2004,0,100,100,71.95,0,0
11/23/2004,0,100,100,71.95,0,0
11/30/2004,0,100,100,71.95,0,0
12/7/2004,0,100,100,0,0,0
12/14/2004,0,100,100,0,0,0
12/21/2004,0,100,100,0,0,0
12/28/2004,0,100,100,0,0,0
1/4/2005,0,100,62.27,0,0,0
1/11/2005,14.83,85.17,34.48,0,0,0
1/18/2005,15.44,84.56,34.48,0,0,0
1/25/2005,16.79,83.21,34.48,0,0,0
2/1/2005,16.79,83.21,34.48,0,0,0
2/8/2005,16.79,83.21,34.48,0,0,0
2/15/2005,38.79,61.21,0,0,0,0
2/22/2005,38.79,61.21,0,0,0,0
3/1/2005,100,0,0,0,0,0
3/8/2005,100,0,0,0,0,0
3/15/2005,100,0,0,0,0,0
3/22/2005,100,0,0,0,0,0
3/29/2005,100,0,0,0,0,0
4/5/2005,100,0,0,0,0,0
4/12/2005,100,0,0,0,0,0
4/19/2005,100,0,0,0,0,0
4/26/2005,100,0,0,0,0,0
5/3/2005,100,0,0,0,0,0
5/10/2005,100,0,0,0,0,0
5/17/2005,100,0,0,0,0,0
5/24/2005,100,0,0,0,0,0
5/31/2005,100,0,0,0,0,0
6/7/2005,100,0,0,0,0,0
6/14/2005,100,0,0,0,0,0
6/21/2005,100,0,0,0,0,0
6/28/2005,100,0,0,0,0,0
7/5/2005,100,0,0,0,0,0
7/12/2005,100,0,0,0,0,0
7/19/2005,100,0,0,0,0,0
7/26/2005,100,0,0,0,0,0
8/2/2005,100,0,0,0,0,0
8/9/2005,100,0,0,0,0,0
8/16/2005,100,0,0,0,0,0
8/23/2005,100,0,0,0,0,0
8/30/2005,100,0,0,0,0,0
9/6/2005,100,0,0,0,0,0
9/13/2005,100,0,0,0,0,0
9/20/2005,100,0,0,0,0,0
9/27/2005,100,0,0,0,0,0
10/4/2005,100,0,0,0,0,0
10/11/2005,100,0,0,0,0,0
10/18/2005,100,0,0,0,0,0
10/25/2005,100,0,0,0,0,0
