"Table B-22--Olives: Bearing acreage production utilization season-average grower price and value California 1980 to date"																																
				Utilization			Processed utilization 1/																									
Year	Bearing	Total					Canned		Crushed	Other	Grower	Value																				
	acreage	production		Fresh	Processed		Canning-	Limited-size	for oil	3/	price																					
							size fruit	fruit 2/																								
																																
	Acres	-- Short tons --									$/ton	"$1000 "																				
																																
1980	"36300  "	"109000  "		300   	"108700  "		"76800  "	"15935  "	"3500  "	"12465  "	368   	"40137  "																				
1981	"34300  "	"44900  "		300   	"44600  "		"37900  "	"2430  "	"2000  "	"2270  "	695   	"31222  "																				
1982	"35000  "	"146500  "		500   	"146000  "		"98000  "	"25943  "	"4600  "	"17457  "	501   	"73459  "																				
1983	"35100  "	"61000  "		400   	"60600  "		"48000  "	"3606  "	"4100  "	"4894  "	519   	"31641  "																				
1984	"33800  "	"90600  "		400   	"90200  "		"76700  "	"5702  "	"2900  "	"4898  "	550   	"49810  "																				
1985	"32900  "	"96000  "		500   	"95500  "		"76100  "	"8416  "	"5800  "	"5184  "	559   	"53634  "																				
																																
1986	"32300  "	"111500  "		500   	"111000  "		"85000  "	"11905  "	"6000  "	"8095  "	587   	"65407  "																				
1987	"31600  "	"67500  "		500   	"67000  "		"55000  "	"5484  "	"3000  "	"3516  "	608   	"41053  "																				
1988	"31500  "	"87500  "		500   	"87000  "		"70000  "	"8500  "	"3000  "	"5500  "	518   	"45316  "																				
1989	"29800  "	"123000  "		500   	"122500  "		"94000  "	"14000  "	"5500  "	"9000  "	467   	"57458  "																				
1990	"30400  "	"131500  "		500   	"131000  "		"88000  "	"22000  "	"5000  "	"16000  "	423   	"55663  "																				
1991	"29700  "	"65000  "		500   	"64500  "		"53700  "	"7300  "	"1800  "	"1700  "	559   	"36306  "																				
																																
1992	"30100  "	"165000  "		500   	"164500  "		"121000  "	"31500  "	"5700  "	"6300  "	549   	"90561  "																				
1993	"30100  "	"122000  "		500   	"121500  "		"93000  "	"19700  "	"5300  "	"3500  "	467   	"56991  "																				
1994	"32000  "	"84000  "		500   	"83500  "		"66500  "	"8400  "	"4400  "	"4200  "	464   	"38994  "																				
1995	"33700  "	"77500  "		500   	"77000  "		"58500  "	"9300  "	"4000  "	"5200  "	646   	"50069  "																				
1996	"33700  "	"166000  "		500   	"165500  "		"123000  "	"29000  "	"7000  "	"6500  "	617   	"102364  "																				
1997	"35300  "	"104000  "		500   	"103500  "		"82200  "	"10200  "	"3600  "	"7500  "	642   	"66801  "																				
																																
1998	"35300  "	"90000  "		500   	"89500  "		"64200  "	"12800  "	"4100  "	"8400  "	459   	"41331  "																				
1999	"35300  "	"142000  "		500   	"141500  "		"86000  "	"36500  "	"5000  "	"14000  "	387   	"55011  "																				
2000	"36000  "	"53000  "		500   	"52500  "		"41400  "	"5100  "	"3000  "	"3000  "	656   	"34743  "																				
2001	"36000  "	"134000  "		500   	"133500  "		"109700  "	"15300  "	"3000  "	"5500  "	672   	"90096  "																				
2002	"36000  "	"103000  "		500   	"102500  "		"82800  "	"9900  "	"6000  "	"3800  "	573   	"58983  "																				
2003	"36000  "	"118000  "		500   	"117500  "		"96000  "	"10500  "	"7500  "	"3500  "	409   	"48289  "																				
																																
2004	"32000  "	"107500  "		500   	"107000  "		"74400  "	"16100  "	"11500  "	"5000  "	564   	"60643  "																				
2005	"32000  "	"142000  "		500   	"141500  "		"100000  "	"21200  "	"14000  "	"6300  "	564   	"80097  "																				
2006	"31000  "	"23500  "		500   	"23000  "		"17000  "	"1500  "	"4000  "	500  	771   	"18119  "																				
2007	"30000  "	"132500  "		500   	"132000  "		"96000  "	"20000  "	"12000  "	"4000  "	654   	"86694  "																				
2008	"30000  "	"66800  "		--	"66800  "		"45500  "	"6000  "	"14000  "	"1300  "	697   	"46587  "																				
2009	"31000  "	"46300  "		--	"46300  "		"24500  "	"1500  "	"20000  "	300  	696   	"32209  "																				
2010	"36000  "	"206000  "		--	"206000  "		"125000  "	"37000  "	"36000  "	"8000  "	664   	"136796  "																				
2011	"41500  "	"71200  "		--	"71200  "		"26500  "	"2200  "	"42000  "	500  	733   	"52168  "																				
    2012	"44000  "	"160000  "		--	"160000  "		"78500  "	"6400  "	"74000  "	"1100  "	813   	"130038  "																				
																															
																																
